"CPW_LOT","DEVICE","FACILITY","TOP","IOP","VPPK","VXOVR","VEA","WAVELENGTH","LFIBER","EXT_RATIO","DISP_PENALTY","MASK_MARGIN","SMSR","RISE_TIME","FALL_TIME","OVERSHOOT","JITTER","CROSSING","ISS","RTH","IPD","IPHOTO","DEVICE_FM","TEST_RUNS","STATE","PRODUCT","FIRST_FAIL_MODE","TEST_DT","PKG_CODE"
"CK-767617","144708776","PKGF10GB5","43","76.75",".45","1.47","-.7","1537.513",".733","11.5",".75","20","53.63","21.4","24.8","1.18","1.99","50",".1557","4.73564","585.377","28.63528","PASS","7","C","1655L0","PASS","18-JUN-15","40km TDM"
"770938","144808236","PKGF10GB6","49.95","90",".44","1.51","-.9","1552.709","2.949","10.6","1.75","20","51.83","19.2","23.3",".91","1.54","50",".1387","3.61181","610.175","34.07988","PASS","1","C","1656L0","PASS","19-JUN-15","80km TDM"
"777282","145002636","PKGF10GB3","38.84","94.9",".65","1.55","-1.25","1561.791","2.214","10.9","1.17","19","53.96","18.1","22.5","1.07","2.24","48",".1679","5.59625","638.437","45.8845","PASS","12","C","1626S0","PASS","16-JUN-15","80km TDM"
"777392","145002710","PKGF10GB3","45.05","70",".4","1.47","-.7","1549.713","1.454","10.7",".15","20","50.35","20.9","23.3","1.34","1.8","49",".1455","4.374","404.364","26.78451","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"791473","150303168","PKGF10GB2","45","54",".4","1.44","-.7","1553.004","1.739","11.3","1.11","20","49.1","19.9","21.6","1.86","2.58","50",".1543","4.37934","304.036","23.19602","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"CK-794234","150400867","PKGF10GB4","43.65","58.46",".45","1.55","-1","1560.603",".751","10.6","1.35","20","48.57","19.2","26",".55","2.09","50",".1455","4.61662","263.095","31.56118","PASS","1","C","1655L021","PASS","23-JUN-15","40km DWDM"
"796430","150403896","PKGF10GB2","43","79.53",".55","1.45","-.7","1545.827",".742","10.8","1.61","20","50.41","18.7","21.8",".92","2.43","50",".1681","4.73945","382.544","25.64015","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"800726","150503187","PKGF10GB2","49.9","51",".5","1.42","-.85","1538.076","1.635","10.6","1.78","16","48.55","20.4","22.1","2.09","3.14","49",".1634","3.62783","229.496","24.86866","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"802064","150505224","PKGF10GB3","37.5","67",".45","1.39","-.8","1543.113","1.444","10.6",".94","20","52.16","22","23.3",".98","2.05","49",".1496","5.90372","530.098","28.93552","PASS","6","C","1625S0","PASS","11-JUN-15","40km TDM"
"802212","150505444","PKGF10GB2","39.97","51",".74","1.45","-.9","1554.943","1.548","10.4","998.8","7","48.58","3.7","12.4","1.94","4.87","49",".1925","5.34218","257.343","26.40015","FAIL","6","C","1655L028","FAIL_EXT_RATIO","02-MAR-15","40km DWDM"
"802351","150505683","PKGF10GB2","45","70.92",".35","1.37","-.85","1561.026",".577","10.9","1.76","20","51.99","19","22.8","1.98","2.21","50",".1497","4.3801","658.274","29.12599","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"802416","150505748","PKGF10GB3","45","72.72",".57","1.2","-.7","1544.328",".749","10.5","1.14","15","50.28","21.4","21.7",".49","2.01","50",".1599","4.374","692.607","24.15871","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"802656","150506403","PKGF10GB7","46.95","73",".52","1.51","-.9","1530.337","3.418","10.9","2.28","20","46.65","19.1","24.6","1.67","2.51","50",".1582","4.05585","353.08","33.76633","PASS","1","C","1656L359","PASS","12-JUN-15","80km DWDM"
"803117","150508652","PKGF10GB5","45.05","68",".4","1.5","-.7","1561.598","1.708","11.1",".25","17","51.61","20.5","24.6",".71","2.04","50",".1515","4.37629","832.86","24.53483","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"804135","150509172","PKGF10GB6","40.1","90",".47","1.54","-.9","1548.7627","1.876","11","1.45","18","47.72","19.5","23.2","1.26","1.76","50",".1404","5.31243","1289.811","34.34886","PASS","1","C","1656L0","PASS","16-JUN-15","80km TDM"
"804465","150509813","PKGF10GB3","50","53",".57",".71","-.13","-999","3.192","9.2","998.8","-999","-999","-999","-999","-999","-999","52",".1606","-999","177.462","10.50004","FAIL","2","C","1656L3T","FAIL_CROSSING","23-FEB-15","80km TDM"
"CK-805245","150601789","PKGF10GB5","49.95","77",".46","1.46","-1.1","1535.974","2.305","10.6","2.04","18","51.32","22","24.8",".73","2.09","50",".1588","3.61868","391.88","36.82715","PASS","1","C","1656L0","PASS","21-FEB-15","80km TDM"
"805975","150606230","PKGF10GB4","37.5","57",".65","1.42","-.8","1558.687","1.455","10.6","1.09","20","49.7","20.2","25","1.52","1.69","50",".1612","5.906","538.557","23.72429","PASS","1","C","1625S0","PASS","17-JUN-15","40km TDM"
"806005","150606261","PKGF10GB4","45","60",".45","1.44","-.7","1554.088","1.684","10.8","1.13","20","49.35","20.7","25.5","1.25","1.72","50",".1448","4.37629","321.424","21.86639","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"806014","150606270","PKGF10GB3","45","51",".45","1.47","-.7","1554.552","1.747","10.5",".4","20","48.76","19.8","22.5","3.45","2.01","50",".1496","4.374","309.071","21.41317","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"806099","150606354","PKGF10GB3","45","60",".45","1.45","-.7","1541.277","1.703","10.5",".02","20","48.02","20","21.7","1.69","1.88","49",".1497","4.374","771.42","22.07171","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"806437","150606910","PKGF10GB2","45","59",".55","1.37","-.95","1547.24","1.117","10.6","1.63","15","47.78","18.1","21.8",".94","2.71","49",".168","4.3801","406.271","28.98667","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"CK-807061","150608301","PKGF10GB7","48","89.1",".52","1.59","-.8","1549.316","1.659","11.5","2.2","15","48.64","17.8","24",".99","2.62","51",".1584","3.89563","1205.817","30.28157","PASS","3","C","1656L035","PASS","19-JUN-15","80km DWDM"
"807146","150608441","PKGF10GB3","43.95","90",".56","1.54","-.9","1545.165","1.99","10.9","1.66","20","52.79","19.1","22.7",".72","1.9","50",".1593","4.5594","898.756","35.0717","PASS","1","C","1656L0","PASS","16-JUN-15","80km TDM"
"807435","150608729","PKGF10GB7","45.95","90",".62","1.61","-.9","1541.117","2.092","11.1","1.44","20","49.46","22.2","25.3","1.6","2.66","51",".1671","4.21759","546.53","36.00214","PASS","1","C","1656L0","PASS","18-JUN-15","80km TDM"
"808772","150701198","PKGF10GB3","45","68",".44","1.44","-.7","1544.905","1.728","10.6","-.39","20","52.49","20.5","22.9","1.42","1.75","50",".1487","4.374","397.04","27.07737","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"808906","150701327","PKGF10GB3","45.05","79.9",".4","1.39","-.7","1539.609",".401","10.8","1.08","20","52.84","20.9","22.7","1.38","1.86","51",".1453","4.374","400.32","29.47938","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"809422","150702909","PKGF10GB4","40.1","79.9",".5","1.53","-.65","1559.9",".488","11.7",".42","20","51.31","20.9","25.5",".56","1.62","50",".1492","5.31777","868.227","28.61474","PASS","6","C","1655L0","PASS","18-JUN-15","40km TDM"
"809928","150703406","PKGF10GB4","45","58",".55","1.34","-.7","1535.839","1.729","10.8","1.64","20","47.49","-999","-999","-999","1.71","49",".153","1297.15","1297.15","21.99813","FAIL","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"811544","150707461","PKGF10GB4","40","58",".6","1.53","-.9","1531.13","1.428","11",".4","17","45.47","20","25.5","1.46","1.88","50",".1573","5.33684","218.965","26.86073","PASS","7","C","1625S0","PASS","10-JUN-15","40km TDM"
"811765","150707705","PKGF10GB6","45","85",".55","1.48","-.9","1539.5544","2.389","10.8","2.17","20","51.15","20.2","24","1.46","2.02","49",".1458","4.37171","378.058","34.31463","FAIL","8","C","1626L4B","FAIL_CURV_0PSPNM","13-JUN-15","80km TDM"
"CK-811929","150707963","PKGF10GB3","40.04","70",".4","1.45","-.9","1590.317","1.019","12",".66","20","52.51","19.3","22.6","1.1","1.81","50",".1457","5.33532","617.609","31.55851","PASS","5","C","1625L0159","PASS","22-JUN-15","40km CWDM"
"812371","150708610","PKGF10GB1","30.1","94.9",".75","1.36","-1.05","1470.648",".78","10.3","998.8","-999","-999","-999","-999","-999","-999","50",".1714","-999","2122.616","34.30849","FAIL","3","C","1626L3147","FAIL_TUNING","17-MAR-15","70km CWDM"
"812888","150710308","PKGF10GB4","40.1","79.9",".6","1.43","-.55","1550.553",".449","11",".91","20","48.27","23.3","25.7",".48","1.56","50",".1571","5.31777","585.511","25.4145","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"813388","150710963","PKGF10GB7","41.95","90",".67","1.57","-1","1534.956","2.148","11","2.96","19","48.7","19.3","24.5","2.37","2.49","50",".1715","4.93401","1364.683","34.70746","PASS","3","C","1656L0","PASS","19-JUN-15","80km TDM"
"813929","150801038","PKGF10GB7","41.95","91.35",".75","1.6","-.9","1542.992","2.492","12","2.2","20","51.37","21.6","24.7",".97","2.56","50",".1787","4.93477","879.303","37.54962","PASS","4","C","1656L0","PASS","23-JUN-15","80km TDM"
"814166","150801465","PKGF10GB7","49.99","91.86",".42","1.57","-.9","1546.872","1.591","10.7","1.51","20","49.8","20","24.9","2.07","2.42","51",".1501","3.61563","636.918","37.24368","PASS","4","C","1656L0","PASS","21-JUN-15","80km TDM"
"814997","150803837","PKGF10GB1","30.1","94.9",".45","1.55","-1.6","1590.599",".942","9.7","-999","0","53.13","16","23.7","3.45","3","52",".1481","8.04227","815.856","51.8996","FAIL","7","C","1626L0159","PASS","21-JUN-15","70km CWDM"
